"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60"
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,793.07,529,14.24,28.76,0.65,0.025,0.19,0.2
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,138.4,163,13.78,28.06,0.22,0.008,0.19,0.17
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,66.07,74,12.76,27.43,0.13,-0.005,0.11,0.13
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,828.23,479,13.24,28.59,0.36,0.013,0.16,0.17
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,149.23,162,14.31,29.1,0.61,0.013,0.15,0.16
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,273.02,301,13.81,28.08,0.53,0.018,0.17,0.18
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,97.35,128,13.6,27.2,-0.47,-0.022,0.1,0.12
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.67,36,13.49,26.92,0.26,0.029,0.21,0.21
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,94.7,144,13.66,27.56,-0.2,0.005,0.12,0.14
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,292.63,352,13.88,27.89,0.6,0.024,0.19,0.21
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.83,17,14.1,28.29,-0.85,0.001,0.08,0.02
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,23.78,52,13.48,27.94,0.01,0.043,0.2,0.23
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,282.68,449,13.62,27.45,-0.15,-0.013,0.13,0.14
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,263.12,248,14.08,28.36,0.23,0.011,0.16,0.18
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,17.52,36,13.5,27.35,-0.62,0.017,0.2,0.13
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,259.82,157,12.94,28.13,1.1,0.037,0.21,0.26
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,113.35,127,13.16,28.42,0.6,0.008,0.14,0.14
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,678.53,471,13.87,28.72,0.28,0.015,0.18,0.19
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,846.1,514,13.97,28.69,0.17,0.006,0.17,0.18
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,598.7,441,13.91,28.05,0.21,0.004,0.15,0.14
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,366.13,261,14.12,28.42,0.3,0.008,0.13,0.17
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,299.92,326,13.9,28.11,0.14,0.015,0.2,0.18
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,97.28,223,13.18,27.23,-0.74,-0.027,0.09,0.09
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,202.92,339,13.48,27.35,-0.21,0,0.12,0.12
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN","L","L",1985-05-30,27,2003,NA,NA,16,114.73,206,13.54,27.43,-0.46,-0.018,0.07,0.12
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","WSH","L","L",1985-05-30,27,2003,NA,NA,17,156.35,182,13.72,27.96,0.38,0.006,0.19,0.17
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,299.48,479,13.16,26.71,-0.3,-0.013,0.11,0.1
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.23,20,13.4,26.75,0.94,0.041,0.13,0.15
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,422.58,455,13.11,28.37,0.27,0.011,0.17,0.17
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,511.88,536,13.33,28.45,0.48,0.023,0.21,0.2
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,249.15,423,13.22,27.59,-0.27,-0.006,0.11,0.12
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.32,167,13.55,27.62,0.34,0.007,0.19,0.16
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1051.48,475,13.64,29.47,0.4,0.01,0.18,0.19
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1034.47,547,13.78,29.4,0.39,0.021,0.21,0.2
"Aaron Ward","AARON.WARD","8458519","09-10","ANA","D","R",1973-01-17,36,1991,1,5,17,216.15,258,13.66,28.26,-0.04,0.007,0.15,0.15
"Aaron Ward","AARON.WARD","8458519","09-10","CAR","D","R",1973-01-17,36,1991,1,5,59,903.12,566,13.83,28.74,0.23,0.009,0.16,0.17
"Aatu Raty","AATU.RATY","8482691","22-23","NYI","C","L",2002-11-14,19,2021,2,52,12,97.35,211,13.25,26.87,0.92,0.051,0.16,0.19
"Aatu Raty","AATU.RATY","8482691","22-23","VAN","C","L",2002-11-14,19,2021,2,52,3,20.43,54,13.92,28.17,0.56,0.021,0.3,0.31
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,31.52,36,13.88,28.18,0.38,0.015,0.13,0.13
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,27.02,54,14.14,28.34,0.52,0.018,0.18,0.21
"Adam Beckman","ADAM.BECKMAN","8481550","22-23","MIN","L","L",2001-05-10,21,2019,3,75,9,88.87,131,14.03,28.33,0.38,0.006,0.16,0.18
"Adam Berti","ADAM.BERTI","8471281","07-08","CHI","L","L",1986-07-01,21,2004,3,68,2,19.85,35,11.71,25.47,1.5,0.027,0.12,0.23
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,563.95,485,14.2,28.46,0.45,0.013,0.18,0.18
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,459.97,163,14.13,28.33,0.41,0.026,0.16,0.19
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,52,763.55,555,14.14,28.23,0.3,0.013,0.16,0.16
"Adam Boqvist","ADAM.BOQVIST","8480871","22-23","CBJ","D","R",2000-08-15,22,2018,1,8,46,695.03,554,14.21,28.52,0.32,0.016,0.17,0.17
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,51.6,110,13.84,27.69,-0.24,-0.026,0.12,0.16
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,110.38,83,13.73,27.51,-0.13,-0.015,0.07,0.09
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL","C","L",1996-05-06,25,2016,4,92,4,38.15,72,14.22,28.16,-0.1,0.008,0.11,0.15
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,74.08,126,13.84,27.67,-0.49,-0.032,0.09,0.1
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,14,101.28,178,13.86,27.7,0.06,-0.018,0.12,0.13
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,682.63,512,13.1,28.31,0.69,0.023,0.2,0.21
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,476.43,558,12.89,27.49,0.21,-0.002,0.15,0.14
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,112.07,167,13.32,27.78,0.1,0.01,0.16,0.17
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,754.28,578,14.09,28.97,0.64,0.021,0.19,0.2
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,693.18,516,14.06,28.39,0.45,0.014,0.16,0.17
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,422.57,315,13.48,27.21,-0.08,-0.005,0.12,0.14
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,125.27,254,13.43,27.38,-0.67,-0.02,0.08,0.09
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,190.88,315,13.82,27.67,-0.14,0.002,0.11,0.13
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI","D","R",1992-10-26,21,2011,2,36,4,37.15,71,13.47,26.85,-1.42,-0.062,0.03,0.09
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","VAN","D","R",1992-10-26,21,2011,2,36,17,262.68,241,14.28,28.48,0.3,0.024,0.19,0.2
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM","D","R",1992-10-26,22,2011,2,36,20,286.9,287,13.99,28.39,0.4,0.023,0.18,0.18
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","PIT","D","R",1992-10-26,22,2011,2,36,9,112.28,162,13.7,27.6,-0.21,-0.002,0.14,0.12
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,438.05,385,13.95,27.95,0.42,0.021,0.2,0.2
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,76.33,74,14.27,28.58,-0.06,0.003,0.14,0.16
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,35.47,72,13.27,26.92,0.78,0.048,0.09,0.17
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,206.52,329,13.41,27.57,0.12,0,0.17,0.16
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,14.07,36,12.81,25.98,0.38,0.008,0.22,0.16
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,170.95,254,13.57,27.3,0.01,-0.002,0.13,0.13
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,150.85,270,13.52,27.38,0.18,-0.001,0.15,0.14
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,157.73,257,13.56,27.22,0.16,0.008,0.1,0.12
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM","R","R",1985-07-15,30,2004,9,279,8,83.95,143,13.61,27.68,0.17,0.011,0.16,0.16
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","VAN","R","R",1985-07-15,30,2004,9,279,44,505.15,543,13.67,27.73,0.26,0.008,0.16,0.16
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,677.6,568,13.83,27.78,0.18,0.007,0.15,0.16
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL","R","R",1985-07-15,32,2004,9,279,1,8.58,18,13.47,27.03,0.64,0.058,0.31,0.24
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","NYR","R","R",1985-07-15,32,2004,9,279,4,25.25,71,13.57,27.05,0.26,0.023,0.15,0.19
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.5,36,13.53,27,1.2,0.07,0.21,0.25
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,278.82,342,14.11,28.16,0.37,0.014,0.16,0.18
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,229.85,319,13.92,27.89,-0.02,0.002,0.12,0.15
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,631.37,605,13.84,27.63,0.25,0.013,0.15,0.17
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,599.72,576,14.13,28.31,0.43,0.016,0.18,0.18
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,546.73,169,14.34,28.65,0.69,0.03,0.17,0.21
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,79,961.33,699,14.41,28.78,0.5,0.018,0.21,0.21
"Adam Erne","ADAM.ERNE","8477454","22-23","DET","L","L",1995-04-20,27,2013,2,33,61,700.9,584,14.06,28.37,0.43,0.019,0.17,0.18
"Adam Foote","ADAM.FOOTE","8456283","07-08","CBJ","D","R",1971-07-10,36,1989,2,22,63,1162.62,486,13.94,30.13,0.8,0.031,0.25,0.25
"Adam Foote","ADAM.FOOTE","8456283","07-08","COL","D","R",1971-07-10,36,1989,2,22,12,199.3,134,14.09,30.4,0.43,0.019,0.28,0.23
"Adam Foote","ADAM.FOOTE","8456283","08-09","COL","D","R",1971-07-10,37,1989,2,22,42,661.72,463,13.92,29.78,1.21,0.037,0.24,0.24
"Adam Foote","ADAM.FOOTE","8456283","09-10","COL","D","R",1971-07-10,38,1989,2,22,67,1093.4,550,14.07,29.21,0.63,0.018,0.19,0.19
"Adam Foote","ADAM.FOOTE","8456283","10-11","COL","D","R",1971-07-10,39,1989,2,22,47,695.63,514,14.09,28.94,0.42,0.007,0.17,0.19
"Adam Fox","ADAM.FOX","8479323","19-20","NYR","D","R",1998-02-17,21,2016,3,66,70,1149.98,654,14.17,28.44,0.53,0.022,0.18,0.18
"Adam Fox","ADAM.FOX","8479323","20-21","NYR","D","R",1998-02-17,22,2016,3,66,55,980.62,184,14.66,29,0.92,0.032,0.2,0.22
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,78,1420.77,679,14.59,29.1,0.64,0.028,0.21,0.2
"Adam Fox","ADAM.FOX","8479323","22-23","NYR","D","R",1998-02-17,24,2016,3,66,82,1484.22,682,14.5,29.24,0.63,0.032,0.2,0.2
"Adam Gaudette","ADAM.GAUDETTE","8478874","17-18","VAN","C","R",1996-10-03,20,2015,5,149,5,59.87,76,13.82,27.26,-0.01,-0.018,0.1,0.13
"Adam Gaudette","ADAM.GAUDETTE","8478874","18-19","VAN","C","R",1996-10-03,21,2015,5,149,56,534.08,579,13.89,27.77,0.19,0.013,0.15,0.16
"Adam Gaudette","ADAM.GAUDETTE","8478874","19-20","VAN","C","R",1996-10-03,22,2015,5,149,59,630.95,601,13.83,27.72,0.39,0.017,0.16,0.16
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","CHI","C","R",1996-10-03,23,2015,5,149,7,80.2,73,14.35,28.67,1.75,0.075,0.19,0.19
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","VAN","C","R",1996-10-03,23,2015,5,149,33,319.27,135,13.97,28.07,0.68,0.031,0.21,0.19
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI","C","R",1996-10-03,24,2015,5,149,8,73.43,130,13.86,27.53,0.71,0.042,0.2,0.21
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","OTT","C","R",1996-10-03,24,2015,5,149,50,510.53,549,14.18,28.28,0.11,-0.001,0.16,0.16
"Adam Ginning","ADAM.GINNING","8480874","22-23","PHI","D","L",2000-01-13,22,2018,2,50,1,16.4,17,13.41,26.46,-2.23,-0.115,-0.07,-0.12
"Adam Hall","ADAM.HALL","8467925","07-08","PIT","R","R",1980-08-14,27,1999,2,52,46,381.07,400,13.23,28.5,0.42,0.012,0.15,0.17
"Adam Hall","ADAM.HALL","8467925","08-09","T.B","R","R",1980-08-14,28,1999,2,52,74,625.88,616,13.25,28.19,0.27,0.01,0.17,0.16
"Adam Hall","ADAM.HALL","8467925","10-11","T.B","R","R",1980-08-14,30,1999,2,52,82,953.9,617,14.12,29,0.5,0.019,0.18,0.19
"Adam Hall","ADAM.HALL","8467925","11-12","T.B","R","R",1980-08-14,31,1999,2,52,57,502.42,515,14.43,29.16,0.43,0.015,0.18,0.19
"Adam Hall","ADAM.HALL","8467925","12-13","CAR","R","R",1980-08-14,32,1999,2,52,6,56.57,105,13.8,27.77,0.06,0.007,0.15,0.19
"Adam Hall","ADAM.HALL","8467925","12-13","PHI","R","R",1980-08-14,32,1999,2,52,11,92.22,181,13.93,28.12,0.71,0.039,0.23,0.2
"Adam Hall","ADAM.HALL","8467925","12-13","T.B","R","R",1980-08-14,32,1999,2,52,20,160.53,240,13.8,28.08,0.24,0.01,0.11,0.13
"Adam Hall","ADAM.HALL","8467925","13-14","PHI","R","R",1980-08-14,33,1999,2,52,80,539.57,643,13.42,27.17,-0.07,-0.007,0.12,0.13
"Adam Henrique","ADAM.HENRIQUE","8474641","10-11","N.J","C","L",1990-02-06,20,2008,3,82,1,12.6,18,13.88,28.05,-0.13,-0.019,0.02,0.1
"Adam Henrique","ADAM.HENRIQUE","8474641","11-12","N.J","C","L",1990-02-06,21,2008,3,82,74,1080.32,571,14.69,29.69,0.52,0.019,0.2,0.21
"Adam Henrique","ADAM.HENRIQUE","8474641","12-13","N.J","C","L",1990-02-06,22,2008,3,82,42,565.88,320,14.43,29.3,0.27,0.012,0.18,0.18
"Adam Henrique","ADAM.HENRIQUE","8474641","13-14","N.J","C","L",1990-02-06,23,2008,3,82,77,1030.8,638,14.33,29.09,0.54,0.017,0.18,0.18
"Adam Henrique","ADAM.HENRIQUE","8474641","14-15","N.J","C","L",1990-02-06,24,2008,3,82,75,1030.48,638,14.36,28.8,0.48,0.018,0.17,0.19
"Adam Henrique","ADAM.HENRIQUE","8474641","15-16","N.J","C","L",1990-02-06,25,2008,3,82,80,1112.23,646,14.49,29.27,0.69,0.028,0.21,0.22
"Adam Henrique","ADAM.HENRIQUE","8474641","16-17","N.J","C","L",1990-02-06,26,2008,3,82,82,1071.28,650,14.54,29.14,0.73,0.03,0.21,0.22
"Adam Henrique","ADAM.HENRIQUE","8474641","17-18","ANA","C","L",1990-02-06,27,2008,3,82,57,772.4,568,14.1,28.31,0.32,0.013,0.17,0.18
"Adam Henrique","ADAM.HENRIQUE","8474641","17-18","N.J","C","L",1990-02-06,27,2008,3,82,24,295.25,355,14.44,29.05,0.46,0.013,0.18,0.18
"Adam Henrique","ADAM.HENRIQUE","8474641","18-19","ANA","C","L",1990-02-06,28,2008,3,82,82,1035.15,663,14.22,28.47,0.21,0.009,0.15,0.17
"Adam Henrique","ADAM.HENRIQUE","8474641","19-20","ANA","C","L",1990-02-06,29,2008,3,82,71,947.27,651,14.44,28.99,0.61,0.024,0.2,0.21
"Adam Henrique","ADAM.HENRIQUE","8474641","20-21","ANA","C","L",1990-02-06,30,2008,3,82,45,581.68,180,14.36,29.07,0.91,0.043,0.22,0.26
"Adam Henrique","ADAM.HENRIQUE","8474641","21-22","ANA","C","L",1990-02-06,31,2008,3,82,58,847.07,603,14.62,29.18,0.79,0.032,0.21,0.21
"Adam Henrique","ADAM.HENRIQUE","8474641","22-23","ANA","C","L",1990-02-06,32,2008,3,82,62,789.23,613,14.38,28.99,0.61,0.034,0.21,0.21
"Adam Johnson","ADAM.JOHNSON","8480341","18-19","PIT","C","L",1994-06-22,24,2012,NA,NA,6,31.83,87,13.53,27.15,-0.26,-0.003,0.01,0.09
"Adam Johnson","ADAM.JOHNSON","8480341","19-20","PIT","C","L",1994-06-22,25,2012,NA,NA,7,46.6,122,13.51,27.08,0.52,0.026,0.2,0.21
"Adam Larsson","ADAM.LARSSON","8476457","11-12","N.J","D","R",1992-11-12,18,2011,1,4,65,1194.55,516,14.27,28.88,0.34,0.013,0.18,0.19
"Adam Larsson","ADAM.LARSSON","8476457","12-13","N.J","D","R",1992-11-12,19,2011,1,4,37,615.88,300,14.21,28.94,0.19,0.014,0.17,0.17
"Adam Larsson","ADAM.LARSSON","8476457","13-14","N.J","D","R",1992-11-12,20,2011,1,4,26,424.52,383,14.13,28.64,0.6,0.019,0.17,0.17
"Adam Larsson","ADAM.LARSSON","8476457","14-15","N.J","D","R",1992-11-12,21,2011,1,4,64,1100.03,609,14.57,29.16,0.45,0.021,0.17,0.2
"Adam Larsson","ADAM.LARSSON","8476457","15-16","N.J","D","R",1992-11-12,22,2011,1,4,82,1520.95,647,14.5,29.29,0.71,0.029,0.21,0.22
"Adam Larsson","ADAM.LARSSON","8476457","16-17","EDM","D","R",1992-11-12,23,2011,1,4,79,1428.68,623,14.46,29.03,0.43,0.016,0.17,0.19
"Adam Larsson","ADAM.LARSSON","8476457","17-18","EDM","D","R",1992-11-12,24,2011,1,4,63,1211.13,598,14.4,28.95,0.6,0.019,0.19,0.21
"Adam Larsson","ADAM.LARSSON","8476457","18-19","EDM","D","R",1992-11-12,25,2011,1,4,82,1577.52,660,14.51,29.07,0.43,0.019,0.18,0.2
"Adam Larsson","ADAM.LARSSON","8476457","19-20","EDM","D","R",1992-11-12,26,2011,1,4,49,871.58,505,14.31,28.68,0.81,0.031,0.19,0.21
"Adam Larsson","ADAM.LARSSON","8476457","20-21","EDM","D","R",1992-11-12,27,2011,1,4,56,943.02,154,14.16,28.55,0.54,0.022,0.19,0.18
"Adam Larsson","ADAM.LARSSON","8476457","21-22","SEA","D","R",1992-11-12,28,2011,1,4,82,1582.8,724,14.53,28.97,0.57,0.026,0.21,0.21
"Adam Larsson","ADAM.LARSSON","8476457","22-23","SEA","D","R",1992-11-12,29,2011,1,4,82,1652.65,675,14.38,28.96,0.47,0.021,0.19,0.19
