"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft_Yr","Draft_Rd","Draft_Ov","GP","TOI_EV","TOI_PP","EV_iFF","PP_iFF","EV_Sh%","PP_Sh%","All_Sh%","EV_Sh_Goals","PP_Sh_Goals","All_Sh_Goals"
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,263.1,18.6,35,1,0.009,-0.018,0.008,0.31,-0.02,0.29
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,17.5,0,4,0,-0.013,0,-0.013,-0.05,0,-0.05
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,259.8,20.1,21,3,0.03,-0.007,0.026,0.64,-0.02,0.62
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,113.4,5.9,10,1,-0.01,0.001,-0.009,-0.1,0,-0.09
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,678.5,19.6,61,8,-0.036,-0.022,-0.034,-2.18,-0.18,-2.36
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,846.1,22.9,67,4,-0.034,-0.009,-0.033,-2.3,-0.04,-2.34
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,598.7,23.1,61,7,0.035,0.054,0.037,2.11,0.38,2.5
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,366.1,2.4,19,1,-0.026,-0.003,-0.024,-0.49,0,-0.49
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,299.9,1.3,22,0,-0.028,0,-0.028,-0.61,0,-0.61
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,97.3,5,7,1,0.025,-0.015,0.02,0.18,-0.01,0.16
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,202.9,1.9,23,0,-0.018,0,-0.018,-0.41,0,-0.41
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN/WSH","L","L",1985-05-30,27,2003,NA,NA,33,271.1,3.8,31,1,-0.019,-0.018,-0.019,-0.59,-0.02,-0.61
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,299.5,0,27,0,-0.009,0,-0.009,-0.23,0,-0.23
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.2,0,3,0,-0.01,0,-0.01,-0.03,0,-0.03
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,422.6,74.5,55,16,0.053,-0.092,0.02,2.93,-1.48,1.45
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,511.9,84.2,72,21,-0.007,0.014,-0.002,-0.5,0.28,-0.22
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,249.2,2,27,1,0.016,0.037,0.017,0.43,0.04,0.46
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.3,0,9,0,-0.023,0,-0.023,-0.2,0,-0.2
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1051.5,106.3,81,20,0.059,-0.052,0.037,4.81,-1.05,3.76
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1034.5,19.8,76,3,0,-0.007,0,0.03,-0.02,0.01
"Aaron Ward","AARON.WARD","8458519","09-10","ANA/CAR","D","R",1973-01-17,36,1991,1,5,76,1119.3,16.8,56,3,-0.008,-0.001,-0.007,-0.43,0,-0.43
"Aatu Raty","AATU.RATY","8482691","22-23","NYI/VAN","C","L",2002-11-14,19,2021,2,52,15,117.8,6.8,17,2,0.041,-0.02,0.035,0.7,-0.04,0.66
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,31.5,1.6,2,0,0.043,0,0.043,0.09,0,0.09
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,27,2.3,4,0,-0.016,0,-0.016,-0.07,0,-0.07
"Adam Beckman","ADAM.BECKMAN","8481550","22-23","MIN","L","L",2001-05-10,21,2019,3,75,9,88.9,6.4,19,0,-0.049,0,-0.049,-0.93,0,-0.93
"Adam Berti","ADAM.BERTI","8471281","07-08","CHI","L","L",1986-07-01,21,2004,3,68,2,19.8,0,2,0,-0.011,0,-0.011,-0.02,0,-0.02
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,564,87,51,16,0.063,-0.049,0.036,3.19,-0.78,2.41
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,460,118.7,33,17,-0.003,-0.013,-0.007,-0.11,-0.22,-0.33
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,52,763.6,99.1,73,14,0.096,0.17,0.108,7,2.38,9.38
"Adam Boqvist","ADAM.BOQVIST","8480871","22-23","CBJ","D","R",2000-08-15,22,2018,1,8,46,695,141.2,64,30,0.066,-0.051,0.029,4.22,-1.53,2.69
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,51.6,1.2,4,0,-0.018,0,-0.018,-0.07,0,-0.07
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,110.4,1.5,8,1,0.05,0.044,0.049,0.4,0.04,0.44
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL/VGK/WPG","C","L",1996-05-06,25,2016,4,92,25,213.5,6.4,17,1,-0.013,-0.017,-0.013,-0.22,-0.02,-0.23
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,682.6,18.2,71,1,-0.03,-0.017,-0.03,-2.11,-0.02,-2.13
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,476.4,3.5,85,0,-0.012,0,-0.012,-1.05,0,-1.05
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,112.1,0.1,16,0,-0.001,0,-0.001,-0.01,0,-0.01
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,754.3,10.6,111,0,-0.007,0,-0.007,-0.8,0,-0.8
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,693.2,33.4,103,4,-0.016,0.023,-0.015,-1.7,0.09,-1.6
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,422.6,2.7,55,0,-0.057,0,-0.057,-3.12,0,-3.12
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,125.3,2.1,16,0,-0.037,0,-0.037,-0.59,0,-0.59
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,190.9,1.3,26,0,-0.005,0,-0.005,-0.12,0,-0.12
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI/VAN","D","R",1992-10-26,21,2011,2,36,21,299.8,43.7,24,5,-0.029,0.042,-0.017,-0.7,0.21,-0.49
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM/PIT","D","R",1992-10-26,22,2011,2,36,29,399.2,23.2,56,4,-0.012,-0.01,-0.012,-0.68,-0.04,-0.72
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,438,44.5,50,5,-0.005,0.069,0.002,-0.24,0.35,0.11
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,76.3,1.8,8,0,-0.008,0,-0.008,-0.07,0,-0.07
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,35.5,1.1,3,0,0.001,0,0.001,0,0,0
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,206.5,0.8,35,0,0.032,0,0.032,1.1,0,1.1
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,14.1,0,2,0,0.044,0,0.044,0.09,0,0.09
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,170.9,0,29,0,0.019,0,0.019,0.56,0,0.56
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,150.9,2.2,23,0,-0.047,0,-0.047,-1.07,0,-1.07
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,157.7,1.3,24,0,-0.046,0,-0.046,-1.1,0,-1.1
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM/VAN","R","R",1985-07-15,30,2004,9,279,52,589.1,6.1,90,0,0.004,0,0.004,0.37,0,0.37
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,677.6,6.8,117,4,0.025,-0.031,0.023,2.88,-0.12,2.75
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL/NYR","R","R",1985-07-15,32,2004,9,279,5,33.8,0,6,0,-0.012,0,-0.012,-0.07,0,-0.07
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.5,0,3,0,-0.014,0,-0.014,-0.04,0,-0.04
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,278.8,25.3,53,5,0.003,-0.033,0,0.16,-0.16,0
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,229.8,0,42,0,0.011,0,0.011,0.46,0,0.46
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,631.4,32.2,93,7,-0.009,0.091,-0.002,-0.86,0.64,-0.23
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,599.7,48.9,75,4,-0.04,-0.035,-0.04,-3.01,-0.14,-3.15
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,546.7,67.9,81,8,0.014,0.122,0.023,1.11,0.98,2.09
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,79,961.3,72.8,132,4,-0.032,-0.032,-0.032,-4.19,-0.13,-4.32
"Adam Erne","ADAM.ERNE","8477454","22-23","DET","L","L",1995-04-20,27,2013,2,33,61,700.9,1.5,78,0,0.006,0,0.006,0.44,0,0.44
"Adam Foote","ADAM.FOOTE","8456283","07-08","CBJ/COL","D","R",1971-07-10,36,1989,2,22,75,1361.9,36.8,82,5,-0.031,-0.014,-0.03,-2.53,-0.07,-2.6
"Adam Foote","ADAM.FOOTE","8456283","08-09","COL","D","R",1971-07-10,37,1989,2,22,42,661.7,6,26,0,0.011,0,0.011,0.28,0,0.28
"Adam Foote","ADAM.FOOTE","8456283","09-10","COL","D","R",1971-07-10,38,1989,2,22,67,1093.4,14.9,46,0,-0.034,0,-0.034,-1.57,0,-1.57
"Adam Foote","ADAM.FOOTE","8456283","10-11","COL","D","R",1971-07-10,39,1989,2,22,47,695.6,6.7,28,0,-0.036,0,-0.036,-1,0,-1
"Adam Fox","ADAM.FOX","8479323","19-20","NYR","D","R",1998-02-17,21,2016,3,66,70,1150,136.9,137,32,0.005,-0.024,-0.001,0.66,-0.77,-0.11
"Adam Fox","ADAM.FOX","8479323","20-21","NYR","D","R",1998-02-17,22,2016,3,66,55,980.6,197.8,93,32,-0.02,0.005,-0.013,-1.84,0.15,-1.69
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,78,1420.8,230.5,139,45,0.042,-0.055,0.018,5.85,-2.47,3.38
"Adam Fox","ADAM.FOX","8479323","22-23","NYR","D","R",1998-02-17,24,2016,3,66,82,1484.2,287,144,63,0.039,-0.041,0.014,5.56,-2.57,2.99
"Adam Gaudette","ADAM.GAUDETTE","8478874","17-18","VAN","C","R",1996-10-03,20,2015,5,149,5,59.9,3.7,14,0,-0.032,0,-0.032,-0.44,0,-0.44
"Adam Gaudette","ADAM.GAUDETTE","8478874","18-19","VAN","C","R",1996-10-03,21,2015,5,149,56,534.1,76.6,67,16,0.008,-0.081,-0.009,0.57,-1.3,-0.73
"Adam Gaudette","ADAM.GAUDETTE","8478874","19-20","VAN","C","R",1996-10-03,22,2015,5,149,59,630.9,89.6,92,21,0.008,0.071,0.02,0.74,1.48,2.22
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","CHI/VAN","C","R",1996-10-03,23,2015,5,149,40,399.5,40.6,82,8,-0.029,-0.057,-0.032,-2.42,-0.45,-2.87
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI/OTT","C","R",1996-10-03,24,2015,5,149,58,584,67.2,100,23,-0.034,-0.039,-0.035,-3.42,-0.9,-4.32
"Adam Ginning","ADAM.GINNING","8480874","22-23","PHI","D","L",2000-01-13,22,2018,2,50,1,16.4,0,1,0,0.004,0,0.004,0,0,0
"Adam Hall","ADAM.HALL","8467925","07-08","PIT","R","R",1980-08-14,27,1999,2,52,46,381.1,9.7,49,1,-0.016,-0.018,-0.016,-0.77,-0.02,-0.78
"Adam Hall","ADAM.HALL","8467925","08-09","T.B","R","R",1980-08-14,28,1999,2,52,74,625.9,8,105,4,-0.023,0.036,-0.021,-2.46,0.14,-2.32
"Adam Hall","ADAM.HALL","8467925","10-11","T.B","R","R",1980-08-14,30,1999,2,52,82,953.9,13.9,205,3,-0.033,-0.023,-0.033,-6.71,-0.07,-6.78
"Adam Hall","ADAM.HALL","8467925","11-12","T.B","R","R",1980-08-14,31,1999,2,52,57,502.4,2.4,75,0,-0.031,0,-0.031,-2.34,0,-2.34
"Adam Hall","ADAM.HALL","8467925","12-13","CAR/PHI/T.B","R","R",1980-08-14,32,1999,2,52,37,309.3,3.6,42,0,-0.038,0,-0.038,-1.58,0,-1.58
"Adam Hall","ADAM.HALL","8467925","13-14","PHI","R","R",1980-08-14,33,1999,2,52,80,539.6,4,65,0,-0.031,0,-0.031,-2.04,0,-2.04
"Adam Henrique","ADAM.HENRIQUE","8474641","10-11","N.J","C","L",1990-02-06,20,2008,3,82,1,12.6,0,0,0,0,0,0,0,0,0
"Adam Henrique","ADAM.HENRIQUE","8474641","11-12","N.J","C","L",1990-02-06,21,2008,3,82,74,1080.3,119.5,125,17,0.01,-0.076,0,1.22,-1.29,-0.07
"Adam Henrique","ADAM.HENRIQUE","8474641","12-13","N.J","C","L",1990-02-06,22,2008,3,82,42,565.9,110.3,79,25,-0.016,0.003,-0.011,-1.23,0.09,-1.14
"Adam Henrique","ADAM.HENRIQUE","8474641","13-14","N.J","C","L",1990-02-06,23,2008,3,82,77,1030.8,162.5,127,29,0.024,0.107,0.04,3.1,3.11,6.21
"Adam Henrique","ADAM.HENRIQUE","8474641","14-15","N.J","C","L",1990-02-06,24,2008,3,82,75,1030.5,128.9,132,24,0.006,0.062,0.015,0.84,1.49,2.33
"Adam Henrique","ADAM.HENRIQUE","8474641","15-16","N.J","C","L",1990-02-06,25,2008,3,82,80,1112.2,206.1,137,31,0.053,0.104,0.062,7.2,3.21,10.41
"Adam Henrique","ADAM.HENRIQUE","8474641","16-17","N.J","C","L",1990-02-06,26,2008,3,82,82,1071.3,198.9,146,31,0.001,0.059,0.011,0.15,1.82,1.97
"Adam Henrique","ADAM.HENRIQUE","8474641","17-18","ANA/N.J","C","L",1990-02-06,27,2008,3,82,81,1067.6,201.1,142,46,0.016,-0.005,0.011,2.23,-0.25,1.98
"Adam Henrique","ADAM.HENRIQUE","8474641","18-19","ANA","C","L",1990-02-06,28,2008,3,82,82,1035.1,184.7,132,41,-0.001,0.075,0.017,-0.13,3.08,2.95
"Adam Henrique","ADAM.HENRIQUE","8474641","19-20","ANA","C","L",1990-02-06,29,2008,3,82,71,947.3,161.7,183,43,0.02,-0.009,0.015,3.68,-0.39,3.28
"Adam Henrique","ADAM.HENRIQUE","8474641","20-21","ANA","C","L",1990-02-06,30,2008,3,82,45,581.7,79.6,79,20,0.076,-0.051,0.051,6.02,-1.01,5.01
"Adam Henrique","ADAM.HENRIQUE","8474641","21-22","ANA","C","L",1990-02-06,31,2008,3,82,58,847.1,121.1,155,28,-0.013,0.091,0.003,-2.06,2.56,0.5
"Adam Henrique","ADAM.HENRIQUE","8474641","22-23","ANA","C","L",1990-02-06,32,2008,3,82,62,789.2,156.9,118,47,0.047,-0.022,0.027,5.57,-1.05,4.52
"Adam Johnson","ADAM.JOHNSON","8480341","18-19","PIT","C","L",1994-06-22,24,2012,NA,NA,6,31.8,0,3,0,-0.014,0,-0.014,-0.04,0,-0.04
"Adam Johnson","ADAM.JOHNSON","8480341","19-20","PIT","C","L",1994-06-22,25,2012,NA,NA,7,46.6,0,5,0,0.019,0,0.019,0.1,0,0.1
"Adam Larsson","ADAM.LARSSON","8476457","11-12","N.J","D","R",1992-11-12,18,2011,1,4,65,1194.5,105.1,79,13,0,-0.038,-0.005,0.02,-0.5,-0.48
"Adam Larsson","ADAM.LARSSON","8476457","12-13","N.J","D","R",1992-11-12,19,2011,1,4,37,615.9,5.7,40,0,-0.034,0,-0.034,-1.36,0,-1.36
"Adam Larsson","ADAM.LARSSON","8476457","13-14","N.J","D","R",1992-11-12,20,2011,1,4,26,424.5,12.4,30,0,0.014,0,0.014,0.42,0,0.42
"Adam Larsson","ADAM.LARSSON","8476457","14-15","N.J","D","R",1992-11-12,21,2011,1,4,64,1100,20.4,117,4,-0.008,-0.009,-0.008,-0.98,-0.04,-1.02
"Adam Larsson","ADAM.LARSSON","8476457","15-16","N.J","D","R",1992-11-12,22,2011,1,4,82,1521,11.5,99,0,-0.014,0,-0.014,-1.41,0,-1.41
"Adam Larsson","ADAM.LARSSON","8476457","16-17","EDM","D","R",1992-11-12,23,2011,1,4,79,1428.7,13.4,119,1,0.008,0.004,0.008,0.94,0,0.95
"Adam Larsson","ADAM.LARSSON","8476457","17-18","EDM","D","R",1992-11-12,24,2011,1,4,63,1211.1,6.1,124,0,-0.003,0,-0.003,-0.32,0,-0.32
"Adam Larsson","ADAM.LARSSON","8476457","18-19","EDM","D","R",1992-11-12,25,2011,1,4,82,1577.5,6.6,164,3,-0.012,-0.007,-0.012,-1.98,-0.02,-2
"Adam Larsson","ADAM.LARSSON","8476457","19-20","EDM","D","R",1992-11-12,26,2011,1,4,49,871.6,2.4,93,0,-0.023,0,-0.023,-2.14,0,-2.14
"Adam Larsson","ADAM.LARSSON","8476457","20-21","EDM","D","R",1992-11-12,27,2011,1,4,56,943,1.5,89,0,0.019,0,0.019,1.66,0,1.66
"Adam Larsson","ADAM.LARSSON","8476457","21-22","SEA","D","R",1992-11-12,28,2011,1,4,82,1582.8,9.6,168,0,0.028,0,0.028,4.7,0,4.7
"Adam Larsson","ADAM.LARSSON","8476457","22-23","SEA","D","R",1992-11-12,29,2011,1,4,82,1652.7,14.4,201,1,-0.003,0.005,-0.003,-0.7,0.01,-0.7
"Adam Lowry","ADAM.LOWRY","8476392","14-15","WPG","L","L",1993-03-29,21,2011,3,67,80,996.5,45.7,130,6,-0.011,-0.039,-0.012,-1.41,-0.23,-1.65
"Adam Lowry","ADAM.LOWRY","8476392","15-16","WPG","L","L",1993-03-29,22,2011,3,67,74,855.7,14,87,2,-0.011,-0.019,-0.011,-0.93,-0.04,-0.97
"Adam Lowry","ADAM.LOWRY","8476392","16-17","WPG","L","L",1993-03-29,23,2011,3,67,82,971,139.4,122,32,-0.007,0.003,-0.005,-0.85,0.11,-0.74
"Adam Lowry","ADAM.LOWRY","8476392","17-18","WPG","L","L",1993-03-29,24,2011,3,67,45,536.4,34.5,75,8,0.016,-0.005,0.014,1.23,-0.04,1.18
"Adam Lowry","ADAM.LOWRY","8476392","18-19","WPG","L","L",1993-03-29,25,2011,3,67,78,943,7.5,135,0,-0.003,0,-0.003,-0.36,0,-0.36
