"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_All","xEVO_GAR","xEVD_GAR","xPPO_GAR","xSHD_GAR","Take_GAR","Draw_GAR","xOff_GAR","xDef_GAR","Pens_GAR","xGAR","xWAR","xSPAR"
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,153.2,0.6,0.5,0,0,0.4,-0.4,0.6,0.5,0,1.1,0.2,0.4
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,66.1,0.5,0.1,0,0,0.2,-0.2,0.5,0.1,0,0.7,0.1,0.2
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,81.5,1.7,0.1,0,0,0,0,1.7,0.2,0,1.8,0.3,0.6
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,415.8,-0.9,-0.8,-0.3,0.4,-1.6,0.1,-1.2,-0.4,-1.4,-3,-0.6,-1.1
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,537.4,-0.1,1.3,-0.1,-0.7,-1.1,0,-0.3,0.6,-1,-0.7,-0.1,-0.2
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY","D","L",1983-04-30,26,2001,3,85,22,267.9,2.2,-0.6,0,0.1,-0.1,-0.1,2.2,-0.5,-0.2,1.5,0.3,0.5
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","EDM","D","L",1983-04-30,26,2001,3,85,19,373.7,3.1,-1.4,0,-0.2,-0.7,0.7,3.1,-1.6,0,1.5,0.3,0.5
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,924.4,2.7,1.3,0.3,0.3,0.2,0.8,2.9,1.6,1,5.5,1,1.8
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,148.7,-0.1,0.9,0,0.1,-0.6,0,-0.1,1,-0.5,0.4,0.1,0.1
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,73.2,0.3,1.4,0,0,0.2,0.1,0.3,1.4,0.3,1.9,0.3,0.7
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,988.2,-0.2,1.7,0,0.3,0.8,-0.6,-0.2,2.1,0.3,2.1,0.4,0.7
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,152.4,-0.6,0.1,0,0,0.1,-0.2,-0.6,0.1,0,-0.5,-0.1,-0.2
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,295.9,0.1,-0.8,0,0.5,-0.3,0,0.1,-0.3,-0.3,-0.5,-0.1,-0.2
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,99.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.2,0,0.1
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,101.8,0.1,-0.5,0,0,-0.5,0.1,0.1,-0.4,-0.4,-0.7,-0.1,-0.3
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,300.8,-0.1,0.8,0,0.1,0.6,0.6,-0.1,0.9,1.3,2.1,0.4,0.7
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,287.5,0.4,0.7,0,0,0,1.4,0.4,0.7,1.5,2.5,0.4,0.8
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,282.9,2.3,-0.6,-0.2,0,0,1,2,-0.6,1,2.4,0.4,0.8
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,309,0.8,0.8,-0.2,0,0.6,-0.2,0.6,0.8,0.3,1.7,0.3,0.6
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,123.7,0.4,1.2,0,0,0.4,-0.2,0.5,1.2,0.2,1.9,0.3,0.7
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,743.8,-2.5,-1.2,-0.2,0.2,0.6,-0.3,-2.7,-1,0.3,-3.4,-0.6,-1.2
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,975,-2.7,-0.1,0.1,0.5,-0.6,-0.7,-2.6,0.4,-1.3,-3.6,-0.6,-1.2
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,654.7,2.7,0.8,0.6,-0.2,-0.6,0,3.3,0.7,-0.6,3.4,0.6,1.1
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,414,-0.7,-0.3,0,-1.5,-0.1,0.1,-0.7,-1.8,0.1,-2.4,-0.5,-0.8
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,327.2,-0.6,0.2,0,-0.4,0.4,-0.2,-0.6,-0.3,0.2,-0.7,-0.1,-0.2
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,102.5,0.1,0.5,0,0,-0.1,-0.3,0.1,0.5,-0.4,0.2,0,0.1
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,206.3,-0.6,1,0,0,-0.6,0,-0.6,1,-0.5,-0.1,0,0
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN","L","L",1985-05-30,27,2003,NA,NA,16,117,-0.1,1.7,0,0,-0.4,0.1,-0.1,1.7,-0.3,1.2,0.2,0.4
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","WSH","L","L",1985-05-30,27,2003,NA,NA,17,158.1,-1,-0.1,0,0,0.2,-0.2,-1,-0.1,0,-1.1,-0.2,-0.4
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,301.9,-2.1,-1.5,0,0,-0.3,-0.3,-2.1,-1.5,-0.6,-4.2,-0.8,-1.5
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,504.6,2.4,-2.3,-0.8,0,-1.8,0.2,1.5,-2.3,-1.6,-2.3,-0.4,-0.8
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,603.6,2.6,-2.5,1.3,0,-2.2,1.1,3.9,-2.5,-1.1,0.3,0.1,0.1
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,251.8,-0.3,-0.6,0,0,-1,-0.1,-0.2,-0.6,-1.1,-1.9,-0.3,-0.7
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.6,0.3,0,0,0,-0.6,0.5,0.3,0,0,0.2,0,0.1
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1325.7,6.1,0.9,-0.6,-1.6,-0.1,-0.4,5.5,-0.6,-0.5,4.4,0.8,1.5
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1214.9,-1,1.5,-0.2,-1,-0.3,-0.7,-1.2,0.5,-1,-1.7,-0.3,-0.6
"Aaron Ward","AARON.WARD","8458519","09-10","ANA","D","R",1973-01-17,36,1991,1,5,17,245.5,-0.2,-1.7,0,-0.8,-0.1,-0.1,-0.2,-2.5,-0.2,-2.9,-0.5,-1
"Aaron Ward","AARON.WARD","8458519","09-10","CAR","D","R",1973-01-17,36,1991,1,5,59,1062.6,-1.8,-1.2,-0.2,0.1,-1.5,0,-2,-1.1,-1.5,-4.6,-0.8,-1.6
"Aatu Raty","AATU.RATY","8482691","22-23","NYI","C","L",2002-11-14,19,2021,2,52,12,105.2,0.7,0.7,0,0,-0.1,-0.2,0.7,0.7,-0.4,1.1,0.2,0.3
"Adam Beckman","ADAM.BECKMAN","8481550","22-23","MIN","L","L",2001-05-10,21,2019,3,75,9,96.2,-0.6,0.3,0,0,0.2,0.2,-0.6,0.3,0.4,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,665.1,5.9,-2.8,-0.4,0,0.9,0.8,5.5,-2.8,1.6,4.3,0.8,1.5
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,594.6,0.9,-0.4,-0.1,0.1,-0.2,1.7,0.8,-0.3,1.5,2,0.4,0.7
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,52,886.4,7.8,-4.4,1.8,0,0.7,0.2,9.7,-4.4,0.9,6.2,1.1,2.1
"Adam Boqvist","ADAM.BOQVIST","8480871","22-23","CBJ","D","R",2000-08-15,22,2018,1,8,46,857.2,5.6,-3.9,-0.2,0,1.2,0.5,5.5,-3.9,1.7,3.3,0.6,1.1
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,55,0.3,0.1,0,0,0.1,0.1,0.3,0.2,0.2,0.6,0.1,0.2
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,117.4,-0.8,0.9,0.1,0.1,0.3,0,-0.8,1,0.2,0.4,0.1,0.1
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,76.9,0.7,-0.2,0,0,0,0,0.7,-0.2,0,0.5,0.1,0.2
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,14,104.4,-1.1,-0.9,0,0,0.2,-0.2,-1.1,-0.9,0,-2,-0.4,-0.7
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,938.4,-3.1,0.4,0,-2.1,0,1.3,-3.2,-1.7,1.3,-3.5,-0.6,-1.2
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,606.6,1.3,1.4,0,2.5,-0.2,0.3,1.3,3.9,0.1,5.3,1,1.9
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,114.1,0.3,-0.9,0,0,0.2,0.2,0.3,-0.8,0.4,-0.2,0,-0.1
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,904,0,2,0,-0.5,-0.9,-0.2,-0.1,1.5,-1.1,0.4,0.1,0.1
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,831.2,-2.2,1.6,0.3,-1.4,-0.6,0.1,-1.9,0.2,-0.5,-2.1,-0.4,-0.7
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,486.2,-4,-1.9,0,-0.3,-0.4,2.3,-4,-2.1,1.9,-4.2,-0.8,-1.5
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,144.3,0.4,0.7,0,-0.3,-0.2,-0.2,0.4,0.5,-0.4,0.5,0.1,0.2
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,222.9,-0.9,-2.2,0,-0.4,-0.9,0.4,-0.9,-2.6,-0.4,-3.9,-0.7,-1.4
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI","D","R",1992-10-26,21,2011,2,36,4,52.7,-0.1,-0.6,0.3,0,-0.1,0.1,0.3,-0.6,0.1,-0.3,-0.1,-0.1
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","VAN","D","R",1992-10-26,21,2011,2,36,17,296.7,0.6,-0.4,0.3,0,0,-0.3,0.9,-0.4,-0.3,0.2,0,0.1
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM","D","R",1992-10-26,22,2011,2,36,20,310.9,0.4,-0.6,-0.2,0,-0.2,0,0.2,-0.6,-0.1,-0.5,-0.1,-0.2
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","PIT","D","R",1992-10-26,22,2011,2,36,9,118.2,-0.4,0.4,0,0,-0.7,0.2,-0.4,0.4,-0.5,-0.5,-0.1,-0.2
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,490.1,1.2,1.7,0.5,0,0.1,-0.2,1.7,1.7,0,3.3,0.6,1.2
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,79.7,0.1,-1.5,0,0,0,-0.1,0.1,-1.5,-0.1,-1.5,-0.3,-0.5
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,214.2,1.1,0,0,0,-0.2,-0.2,1.1,0,-0.4,0.7,0.1,0.2
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,172.3,2,0.5,0,0,0.1,0,2,0.5,0.1,2.6,0.5,0.9
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,155.5,-0.6,-0.3,0,0,0.4,0.2,-0.6,-0.3,0.6,-0.2,0,-0.1
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,169.1,-1.3,-1.2,0,0.2,0.2,-0.2,-1.3,-1.1,0.1,-2.3,-0.4,-0.8
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM","R","R",1985-07-15,30,2004,9,279,8,90.4,0.1,0.4,0,0,-0.7,0.1,0.1,0.4,-0.6,-0.1,0,0
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","VAN","R","R",1985-07-15,30,2004,9,279,44,545.6,1.5,0.1,0,-0.2,0.2,0.6,1.5,0,0.8,2.2,0.4,0.8
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,721.7,5.3,1,-0.1,0.5,0.3,1.4,5.2,1.5,1.8,8.4,1.6,3.1
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,307,0.3,1.1,0,0,0.1,0.2,0.3,1.1,0.3,1.7,0.3,0.6
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,232.7,0.3,2.2,0,0,0.1,-0.2,0.3,2.2,0,2.5,0.5,0.9
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,685.6,0,1,0,-0.2,0,-0.1,0,0.9,-0.1,0.8,0.1,0.3
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,661.7,-2.4,1.7,-1,0,0,-1,-3.3,1.8,-1,-2.6,-0.5,-0.9
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,626.4,4.2,-1.4,1.1,0,0.1,-1.1,5.3,-1.4,-1,3,0.5,1
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,79,1057.3,-4.2,-0.4,-0.6,0,0.6,-0.3,-4.7,-0.4,0.3,-4.8,-0.8,-1.6
"Adam Erne","ADAM.ERNE","8477454","22-23","DET","L","L",1995-04-20,27,2013,2,33,61,816.2,-2.4,0,0,-1.2,0.7,-0.7,-2.4,-1.2,0.1,-3.6,-0.6,-1.2
"Adam Foote","ADAM.FOOTE","8456283","07-08","CBJ","D","R",1971-07-10,36,1989,2,22,63,1514.1,-2.6,2.1,-0.3,1.5,-0.2,0.9,-2.9,3.6,0.7,1.3,0.2,0.4
"Adam Foote","ADAM.FOOTE","8456283","07-08","COL","D","R",1971-07-10,36,1989,2,22,12,240.2,-0.9,0.6,0,0.3,-0.4,-0.1,-1,0.9,-0.5,-0.6,-0.1,-0.2
"Adam Foote","ADAM.FOOTE","8456283","08-09","COL","D","R",1971-07-10,37,1989,2,22,42,825.7,0.3,0.3,0,-2.7,-0.2,-0.7,0.3,-2.4,-0.9,-3.1,-0.6,-1.1
"Adam Foote","ADAM.FOOTE","8456283","09-10","COL","D","R",1971-07-10,38,1989,2,22,67,1297.1,-1.7,-4.2,0.1,-3.2,0.4,-0.3,-1.7,-7.4,0.1,-9,-1.6,-3.1
"Adam Foote","ADAM.FOOTE","8456283","10-11","COL","D","R",1971-07-10,39,1989,2,22,47,842.5,-1.5,-1.1,0,-1.5,0.8,-0.2,-1.5,-2.6,0.6,-3.5,-0.6,-1.2
"Adam Fox","ADAM.FOX","8479323","19-20","NYR","D","R",1998-02-17,21,2016,3,66,70,1323.3,9,5.7,0.4,0.3,0,0.8,9.4,6,0.7,16.1,2.9,5.5
"Adam Fox","ADAM.FOX","8479323","20-21","NYR","D","R",1998-02-17,22,2016,3,66,55,1358.8,3,3.6,3.8,-1,1.6,-0.5,6.8,2.7,1,10.5,1.9,3.5
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,78,1864.8,12.3,4.7,1,-0.2,1.8,1.4,13.3,4.5,3.3,21.1,3.7,7
"Adam Fox","ADAM.FOX","8479323","22-23","NYR","D","R",1998-02-17,24,2016,3,66,82,1998.3,16.8,4.3,3.3,0.2,0.8,0.1,20.1,4.5,0.9,25.6,4.3,8.3
"Adam Gaudette","ADAM.GAUDETTE","8478874","17-18","VAN","C","R",1996-10-03,20,2015,5,149,5,63.9,-0.4,-0.2,0,0,0.1,-0.1,-0.4,-0.2,0,-0.6,-0.1,-0.2
"Adam Gaudette","ADAM.GAUDETTE","8478874","18-19","VAN","C","R",1996-10-03,21,2015,5,149,56,613.1,-0.7,-2.6,-1.4,0,-0.2,0.8,-2.1,-2.6,0.7,-4.1,-0.8,-1.4
"Adam Gaudette","ADAM.GAUDETTE","8478874","19-20","VAN","C","R",1996-10-03,22,2015,5,149,59,730.6,0.4,-1.7,2.3,0,-0.4,-0.1,2.7,-1.7,-0.4,0.5,0.1,0.2
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","CHI","C","R",1996-10-03,23,2015,5,149,7,85.4,0.5,-0.6,0,0,0.2,0.2,0.5,-0.6,0.4,0.3,0.1,0.1
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","VAN","C","R",1996-10-03,23,2015,5,149,33,359.4,-2.2,-1.3,-0.3,0,-0.3,0.2,-2.5,-1.3,-0.1,-3.9,-0.7,-1.3
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI","C","R",1996-10-03,24,2015,5,149,8,84.2,-0.6,0.4,0.3,0,-0.2,0.4,-0.3,0.4,0.2,0.3,0,0.1
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","OTT","C","R",1996-10-03,24,2015,5,149,50,572.4,-3.1,-2.8,-1,0,0.5,-0.6,-4.2,-2.8,-0.1,-7.1,-1.2,-2.4
"Adam Hall","ADAM.HALL","8467925","07-08","PIT","R","R",1980-08-14,27,1999,2,52,46,546.2,-2.9,-1.4,0,-1,0.3,-0.3,-2.9,-2.4,-0.1,-5.4,-1,-1.9
"Adam Hall","ADAM.HALL","8467925","08-09","T.B","R","R",1980-08-14,28,1999,2,52,74,828.6,0.4,1.9,0.2,1.5,0.9,0.9,0.6,3.4,1.8,5.9,1.1,2.1
"Adam Hall","ADAM.HALL","8467925","10-11","T.B","R","R",1980-08-14,30,1999,2,52,82,1217.7,-4.1,4,0.1,-0.9,1.2,1.4,-4,3.1,2.7,1.7,0.3,0.6
"Adam Hall","ADAM.HALL","8467925","11-12","T.B","R","R",1980-08-14,31,1999,2,52,57,676.4,-2.3,1.4,0,-1.7,0.3,0.1,-2.3,-0.3,0.4,-2.2,-0.4,-0.7
"Adam Hall","ADAM.HALL","8467925","12-13","CAR","R","R",1980-08-14,32,1999,2,52,6,63.1,0,0.2,0,0.1,0.2,-0.1,0,0.3,0,0.3,0.1,0.1
"Adam Hall","ADAM.HALL","8467925","12-13","PHI","R","R",1980-08-14,32,1999,2,52,11,120.8,-0.6,0.3,0,0.2,0.3,-0.1,-0.6,0.5,0.2,0.2,0,0.1
"Adam Hall","ADAM.HALL","8467925","12-13","T.B","R","R",1980-08-14,32,1999,2,52,20,205.8,-1.5,0.8,0,-0.2,-0.2,0.1,-1.5,0.6,0,-1,-0.2,-0.3
"Adam Hall","ADAM.HALL","8467925","13-14","PHI","R","R",1980-08-14,33,1999,2,52,80,787.1,-3.2,0.8,0,-0.3,0.2,-0.6,-3.2,0.5,-0.4,-3.1,-0.6,-1.1
"Adam Henrique","ADAM.HENRIQUE","8474641","11-12","N.J","C","L",1990-02-06,21,2008,3,82,74,1343.9,6.1,3,-1.3,1.2,3.3,-0.7,4.8,4.1,2.6,11.5,2,3.7
"Adam Henrique","ADAM.HENRIQUE","8474641","12-13","N.J","C","L",1990-02-06,22,2008,3,82,42,769.4,0.3,0.7,-0.1,0.3,1.1,-0.4,0.2,1,0.7,1.9,0.3,0.6
"Adam Henrique","ADAM.HENRIQUE","8474641","13-14","N.J","C","L",1990-02-06,23,2008,3,82,77,1390.2,8.9,0.6,2.9,2,2.2,0.2,11.8,2.6,2.3,16.7,3.2,5.9
"Adam Henrique","ADAM.HENRIQUE","8474641","14-15","N.J","C","L",1990-02-06,24,2008,3,82,75,1330.8,5.8,-3,2.2,-0.1,1.2,-0.9,8,-3.2,0.4,5.1,1,1.9
"Adam Henrique","ADAM.HENRIQUE","8474641","15-16","N.J","C","L",1990-02-06,25,2008,3,82,80,1586.1,10.5,2.6,4.5,-0.5,2.2,-0.8,15,2.2,1.4,18.5,3.6,6.9
"Adam Henrique","ADAM.HENRIQUE","8474641","16-17","N.J","C","L",1990-02-06,26,2008,3,82,82,1490.1,4.3,-3.1,3,0.8,0.9,-0.1,7.3,-2.3,0.8,5.8,1.1,2.1
"Adam Henrique","ADAM.HENRIQUE","8474641","17-18","ANA","C","L",1990-02-06,27,2008,3,82,57,1002.4,5.9,0.9,0.5,-0.4,1.2,-0.8,6.4,0.5,0.4,7.3,1.4,2.7
"Adam Henrique","ADAM.HENRIQUE","8474641","17-18","N.J","C","L",1990-02-06,27,2008,3,82,24,438.2,-0.4,-1.3,1.2,-2.3,0.7,-0.5,0.8,-3.6,0.2,-2.7,-0.5,-1
"Adam Henrique","ADAM.HENRIQUE","8474641","18-19","ANA","C","L",1990-02-06,28,2008,3,82,82,1349,0.4,2,4.5,0,1.5,-1.1,4.9,2,0.4,7.3,1.4,2.6
"Adam Henrique","ADAM.HENRIQUE","8474641","19-20","ANA","C","L",1990-02-06,29,2008,3,82,71,1197.6,6.8,0.1,0.1,0.3,0.7,-0.8,6.9,0.4,0,7.3,1.3,2.5
"Adam Henrique","ADAM.HENRIQUE","8474641","20-21","ANA","C","L",1990-02-06,30,2008,3,82,45,721.8,8.4,-2.2,0.1,-0.4,1.3,-0.9,8.5,-2.6,0.4,6.3,1.1,2.1
"Adam Henrique","ADAM.HENRIQUE","8474641","21-22","ANA","C","L",1990-02-06,31,2008,3,82,58,1010.3,5.6,0,3.1,0.1,0.9,-0.9,8.7,0.1,0,8.9,1.6,3
"Adam Henrique","ADAM.HENRIQUE","8474641","22-23","ANA","C","L",1990-02-06,32,2008,3,82,62,1126.8,8.9,-1.2,1.7,-4.1,0.9,-1.2,10.6,-5.3,-0.3,5,0.8,1.6
